"id","code","name","parent_id/id"
"cat_131","131","Керівники малих підприємств без апарату управління","cat_13"
"cat_1311","1311","Керівники малих підприємств без апарату управління в сільському, мисливському, водному господарствах, лісівництві, рибному промислі","cat_131"
"cat_1312","1312","Керівники малих підприємств без апарату управління в промисловості","cat_131"
"cat_1313","1313","Керівники малих підприємств без апарату управління в будівництві","cat_131"
"cat_1314","1314","Керівники малих підприємств без апарату управління в оптовій та роздрібній торгівлі","cat_131"
"cat_1315","1315","Керівники малих підприємств-готелів та закладів ресторанного господарства без апарату управління","cat_131"
"cat_1316","1316","Керівники малих підприємств без апарату управління на транспорті, у складському господарстві та зв'язку","cat_131"
"cat_1317","1317","Керівники малих підприємств без апарату управління в комерційному обслуговуванні","cat_131"
"cat_1318","1318","Керівники малих підприємств без апарату управління в побутовому обслуговуванні","cat_131"
"cat_1319","1319","Керівники інших малих підприємств без апарату управління","cat_131"
"cat_14","14","Менеджери (управителі) підприємств, установ, організацій та їх підрозділів","cat_1"
"cat_141","141","Менеджери (управителі) у сільському, мисливському, лісовому, рибному та водному господарствах","cat_14"
"cat_1411","1411","Менеджери (управителі) у водному господарстві","cat_141"
"cat_1412","1412","Менеджери (управителі) у лісовому господарстві","cat_141"
"cat_142","142","Менеджери (управителі) у добувній промисловості","cat_14"
"cat_143","143","Менеджери (управителі) в обробній промисловості та у виробництві електроенергії, газу та води","cat_14"
"cat_1439","1439","Менеджери (управителі) в інших сферах обробної промисловості та у виробництві електроенергії, газу та води","cat_143"
"cat_1439_8","1439.8","Менеджери (управителі) у виробництві та розподіленні електроенергії","cat_1439"
"cat_144","144","Менеджери (управителі) у будівництві, на транспорті, пошті та зв'язку","cat_14"
"cat_1443","1443","Менеджери (управителі) на транспорті","cat_144"
"cat_1448","1448","Менеджери (управителі) туристичних агентств та бюро подорожей","cat_144"
"cat_1448_1","1448.1","Менеджери (управителі) з організації діяльності туристичних агентств та бюро подорожей","cat_1448"
"cat_145","145","Менеджери (управителі) в торгівлі, готелях та закладах ресторанного господарства","cat_14"
"cat_1451","1451","Менеджери (управителі) у торгівлі транспортними засобами та їх ремонті","cat_145"
"cat_1452","1452","Менеджери (управителі) в оптовій торгівлі та посередництві у торгівлі","cat_145"
"cat_1453","1453","Менеджери (управителі) в роздрібній торгівлі побутовими та непродовольчими товарами та їх ремонті","cat_145"
"cat_1453_1","1453.1","Менеджери (управителі) в роздрібній торгівлі побутовими товарами","cat_1453"
"cat_1453_2","1453.2","Менеджери (управителі) в роздрібній торгівлі непродовольчими товарами","cat_1453"
"cat_1454","1454","Менеджери (управителі) в роздрібній торгівлі продовольчими товарами","cat_145"
"cat_1455","1455","Менеджери (управителі) в готелях та інших місцях розміщення","cat_145"
"cat_1455_1","1455.1","Менеджери (управителі) в готельному господарстві","cat_1455"
"cat_1456","1456","Менеджери (управителі) з організації харчування","cat_145"
"cat_146","146","Менеджери (управителі) у фінансовій діяльності","cat_14"
"cat_1461","1461","Менеджери (управителі) у сфері грошового посередництва","cat_146"
"cat_1462","1462","Менеджери (управителі) у сфері фінансового лізингу","cat_146"
"cat_1463","1463","Менеджери (управителі) у сфері надання кредитів","cat_146"
"cat_1465","1465","Менеджери (управителі) у сфері страхування життя та заощаджень","cat_146"
"cat_1466","1466","Менеджери (управителі) у сфері пенсійного страхування","cat_146"
"cat_1467","1467","Менеджери (управителі) в допоміжній діяльності у сфері фінансів","cat_146"
"cat_1468","1468","Менеджери (управителі) в допоміжній діяльності у сфері страхування","cat_146"
"cat_1469","1469","Менеджери (управителі) в інших видах фінансового посередництва","cat_146"
"cat_147","147","Менеджери (управителі) у сфері операцій з нерухомістю, здавання під найом та послуг юридичним особам","cat_14"
"cat_1471","1471","Менеджери (управителі) у сфері операцій з нерухомістю для третіх осіб","cat_147"
"cat_1472","1472","Менеджери (управителі) у сфері аренди машин та устаткування","cat_147"
"cat_1473","1473","Менеджери (управителі) у сфері надання інформації","cat_147"
"cat_1474","1474","Менеджери (управителі) у сфері досліджень та розробок","cat_147"
"cat_1475","1475","Менеджери (управителі) з права, бухгалтерського обліку, досліджень ринку, вивчення суспільної думки, консультацій з питань комерційної діяльності та управління","cat_147"
"cat_1475_1","1475.1","Менеджери (управителі) з права","cat_1475"
"cat_1475_2","1475.2","Менеджери (управителі) з бухгалтерського обліку","cat_1475"
"cat_1475_3","1475.3","Менеджери (управителі) з дослідження ринку та вивчення суспільної думки","cat_1475"
"cat_1475_4","1475.4","Менеджери (управителі) з питань комерційної діяльності та управління","cat_1475"
"cat_1476","1476","Менеджери (управителі) з архітектури та будівництва, технічного контролю, аналізу та реклами","cat_147"
"cat_1476_1","1476.1","Менеджери (управителі) з реклами","cat_1476"
"cat_1477","1477","Менеджери (управителі) з підбору, забезпечення та використання персоналу","cat_147"
"cat_1477_1","1477.1","Менеджери (управителі) з підбору, забезпечення та використання персоналу","cat_1477"
"cat_1478","1478","Менеджери (управителі) у слідчій діяльності","cat_147"
