"id","code","name","profession_classifier_catalog_id/id"
"pc_00067","1120.1","Уповноважений з прав людини","cat_1120_1"
"pc_00068","1120.1","Урядовий уповноважений","cat_1120_1"
"pc_00069","1120.2","Голова обласної (міської) державної адміністрації","cat_1120_2"
"pc_00070","1120.2","Голова районної державної адміністрації","cat_1120_2"
"pc_00071","1120.3","Посол","cat_1120_3"
"pc_00072","1120.3","Посол з особливих доручень","cat_1120_3"
"pc_00073","1120.3","Представник Міністерства закордонних справ - керівник дипломатичного агентства","cat_1120_3"
"pc_00074","1120.3","Представник постійний","cat_1120_3"
"pc_00075","1120.3","Спеціальний представник України з питань придністровського врегулювання","cat_1120_3"
"pc_00076","1120.4","Голова Апеляційного адміністративного суду","cat_1120_4"
"pc_00077","1120.4","Голова Апеляційного господарського суду","cat_1120_4"
"pc_00078","1120.4","Голова Вищої кваліфікаційної комісії суддів України","cat_1120_4"
"pc_00079","1120.4","Голова Вищої ради правосуддя","cat_1120_4"
"pc_00080","1120.4","Голова Державної судової адміністрації України","cat_1120_4"
"pc_00081","1120.4","Секретар Великої Палати Верховного Суду","cat_1120_4"
"pc_00082","1120.4","Секретар Пленуму Верховного Суду","cat_1120_4"
"pc_00083","1120.4","Секретар судової палати касаційного суду у складі Верховного Суду","cat_1120_4"
"pc_00084","1120.4","Голова касаційного суду у складі Верховного Суду","cat_1120_4"
"pc_00085","1120.4","Голова Верховного суду","cat_1120_4"
"pc_00086","1120.4","Генеральний прокурор","cat_1120_4"
"pc_00087","1120.4","Голова Конституційного Суду України","cat_1120_4"
"pc_00088","1120.4","Заступник Генерального прокурора","cat_1120_4"
"pc_00089","1120.4","Заступник Генерального прокурора –керівник Спеціалізованої антикорупційної прокуратури","cat_1120_4"
"pc_00090","1120.4","Заступник голови Верховного Суду","cat_1120_4"
"pc_00091","1120.4","Заступник Голови Вищої кваліфікаційної комісії суддів України","cat_1120_4"
"pc_00092","1120.4","Заступник Голови Вищої ради правосуддя","cat_1120_4"
"pc_00093","1120.4","Заступник керівника Спеціалізованої антикорупційної прокуратури","cat_1120_4"
"pc_00094","1120.4","Перший заступник Генерального прокурора","cat_1120_4"
"pc_00095","1120.4","Перший заступник керівника Спеціалізованої антикорупційної прокуратури","cat_1120_4"
"pc_00096","1120.4","Член Вищої кваліфікаційної комісії суддів України","cat_1120_4"
"pc_00097","1120.4","Член Вищої ради правосуддя","cat_1120_4"
"pc_00098","1120.4","Член Конституційного Суду України","cat_1120_4"
"pc_00099","1120.4","Голова Апеляційного суду України","cat_1120_4"
"pc_00100","1120.4","Заступник голови Апеляційного суду України","cat_1120_4"
"pc_00101","1120.4","Заступник голови касаційного суду у складі Верховного Суду","cat_1120_4"
"pc_00102","1120.4","Заступник голови судової палати Апеляційного суду України","cat_1120_4"
"pc_00103","1120.4","Перший заступник голови Апеляційного суду України","cat_1120_4"
"pc_00104","1120.4","Суддя Верховного суду","cat_1120_4"
"pc_00105","1120.5","Голова державного колегіального органу","cat_1120_5"
"pc_00106","1120.5","Керівник офісу державного колегіального органу","cat_1120_5"
"pc_00107","1120.5","Член державного колегіального органу","cat_1120_5"
"pc_00108","1141.1","Вища посадова особа (голова, генеральний секретар, секретар, президент, лідер, керівник та ін.) політичної партії","cat_1141_1"
